iso3	country	join_status	lang_code	language_english	language_autonym	script	competing_languages	join_note	01_pain_term	01_pain_english	01_pain_mark	02_hurt_term	02_hurt_english	02_hurt_mark	03_eco_anxiety_term	03_eco_anxiety_english	03_eco_anxiety_mark	04_uncertainty_term	04_uncertainty_english	04_uncertainty_mark	05_grief_term	05_grief_english	05_grief_mark	06_anger_term	06_anger_english	06_anger_mark	07_hardship_term	07_hardship_english	07_hardship_mark	08_displacement_term	08_displacement_english	08_displacement_mark	09_trauma_term	09_trauma_english	09_trauma_mark	10_loneliness_term	10_loneliness_english	10_loneliness_mark	11_depression_term	11_depression_english	11_depression_mark	12_fear_term	12_fear_english	12_fear_mark	13_helplessness_term	13_helplessness_english	13_helplessness_mark	14_shame_term	14_shame_english	14_shame_mark	15_no_pain_term	15_no_pain_english	15_no_pain_mark	labels	gaps	exact_F	broader_or_narrower_E
DNK	Denmark	SETTLED	da	Danish	dansk	Latn			fysisk smerte	physical pain; bodily pain	C	smerte	pain, suffering, grief	E	klimaangst	Eco-anxiety	E	usikkerhed	uncertainty; insecurity; lack of confidence	E	sorg	grief	E	harme	indignation; resentment; deep-felt anger	E	afsavn	deprivation, privation, lack	E	fordrivelse	expulsion; forced removal; displacement	E	traume	trauma; physical or psychological injury/shock	E	ensomhed	loneliness	E	depression	depression; sustained depressive mental state; also non-mental domain senses	F	frygt	fear; dread; apprehension	E	afmagt	powerlessness	E	skam	shame; embarrassment; disgrace	E	smertefri	pain-free; painless	E	15	0	1	13
DJI	Djibouti	REVIEW	so	Somali	Soomaali	Latn	Afar (aa); Arabic (ar); French (fr)	Arabic and French official; Somali and Afar are the L1s.	xanuun jireed	physical pain; bodily hurt	F	murugo	sadness; sorrow; grief	E	walaaca cimilada	climate worry; climate anxiety	E	hubanti-la’aan	uncertainty; lack of certainty	F	tiiraanyo	a matter over which one grieves	F	caro	anger; anger-like irritation	E	baahi	need; want; deprivation; scarcity or hunger in context	E	barakac	displacement; evacuation	E	dhaawac nafsi	psychological injury; mental wound	F	kelinimo	loneliness; solitude; aloneness	E	niyad-jab	discouragement; dejection; disappointment; depression in some current usage	E	cabsi	fear; fright; dread	E	awood la’aan	powerlessness; lack of ability; inability; also impotence in sexual-health usage	E	xishood	shyness; modesty; embarrassment; shame	E	xanuun la'aan	without pain	F	15	0	5	10
DMA	Dominica	SETTLED	en	English		Latn	Dominican Creole French (acf)		Pain	Pain	F	Hurt	Hurt	E	Eco-anxiety	Eco-anxiety	E	Uncertainty	Uncertainty	F	Grief	Grief	E	Anger	Anger	E	Hardship	Hardship	E	Displacement	Displacement	E	Trauma	Trauma	E	Loneliness	Loneliness	E	Depression	Depression	E	Fear	Fear	E	Helplessness	Helplessness	F	Shame	Shame	E	No pain	No pain	F	15	0	4	11
DOM	Dominican Republic	SETTLED	es	Spanish	español	Latn			dolor físico	Physical pain	F	dolor emocional	Emotional pain	F	ecoansiedad	eco-anxiety; chronic fear of environmental catastrophe	F	incertidumbre	Uncertainty	F	duelo	Grief, mourning	E	indignación	Indignation, outrage	E	precariedad	Precarity	E	desarraigo	Rootlessness, uprooting	F	trauma	Trauma	E	soledad	Loneliness, solitude	E	depresión	Depression	F	ansiedad	Anxiety	E	impotencia	Powerlessness	F	culpa	Guilt, blame	E	sin dolor	without pain	F	15	0	8	7
ECU	Ecuador	SETTLED	es	Spanish	español	Latn	Quichua (qu)		dolor físico	Physical pain	F	dolor emocional	Emotional pain	F	ecoansiedad	eco-anxiety; chronic fear of environmental catastrophe	F	incertidumbre	Uncertainty	F	duelo	Grief, mourning	E	indignación	Indignation, outrage	E	precariedad	Precarity	E	desarraigo	Rootlessness, uprooting	F	trauma	Trauma	E	soledad	Loneliness, solitude	E	depresión	Depression	F	ansiedad	Anxiety	E	impotencia	Powerlessness	F	culpa	Guilt, blame	E	sin dolor	without pain	F	15	0	8	7
EGY	Egypt	SETTLED	ar	Arabic	العربية	Arab		Variety: Egyptian Arabic (arz) vs MSA. Egyptian is the most widely understood spoken variety.	وجع	Pain / ache	F	ضيق	Distress / inner tightness	E	القلق المناخي	climate anxiety, definite form	F	عدم اليقين	uncertainty; lack of certainty	F	حزن	Grief / sorrow	E	غضب	Anger	E	عوز	Want / destitution	E	نزوح	Displacement	E	صدمة	Shock / trauma	E	وحشة	Loneliness / forlornness	E	اكتئاب	Depression	F	خوف وقلق	Fear and anxiety	E	عجز	Inability / powerlessness	E	شعور بالذنب	Feeling of guilt	E	بلا ألم	without pain	F	15	0	5	10
SLV	El Salvador	SETTLED	es	Spanish	español	Latn			dolor físico	Physical pain	F	dolor emocional	Emotional pain	F	ecoansiedad	eco-anxiety; chronic fear of environmental catastrophe	F	incertidumbre	Uncertainty	F	duelo	Grief, mourning	E	indignación	Indignation, outrage	E	precariedad	Precarity	E	desarraigo	Rootlessness, uprooting	F	trauma	Trauma	E	soledad	Loneliness, solitude	E	depresión	Depression	F	ansiedad	Anxiety	E	impotencia	Powerlessness	F	culpa	Guilt, blame	E	sin dolor	without pain	F	15	0	8	7
GNQ	Equatorial Guinea	REVIEW	es	Spanish	español	Latn	Fang (fan); French (fr); Portuguese (pt)	Spanish is the dominant public language; Fang is the largest L1.	dolor físico	Physical pain	F	dolor emocional	Emotional pain	F	ecoansiedad	eco-anxiety; chronic fear of environmental catastrophe	F	incertidumbre	Uncertainty	F	duelo	Grief, mourning	E	indignación	Indignation, outrage	E	precariedad	Precarity	E	desarraigo	Rootlessness, uprooting	F	trauma	Trauma	E	soledad	Loneliness, solitude	E	depresión	Depression	F	ansiedad	Anxiety	E	impotencia	Powerlessness	F	culpa	Guilt, blame	E	sin dolor	without pain	F	15	0	8	7
ERI	Eritrea	REVIEW	ti	Tigrinya	ትግርኛ	Ethi	Arabic (ar); Tigre (tig)	No single official language; Tigrinya is dominant in practice.	ቃንዛ	pain; ache; hurt	E	ጓሂ	sorrow, sadness, emotional or mental suffering, distress	F		NO TERM FOUND	X	ዘይርጉጽነት	uncertainty; incertitude	F	ሓዘን	sorrow, sadness, grief, mourning	E	ቁጥዐ	anger; irritation	E	ድኽነት	poverty	F	ምምዝባል	displacement; uprooting	F	ስንባደ	alarm, fright, shock, anxiety, dismay	E	ጽምዋ	solitude; loneliness	E	ተስፋ ምቑራጽ	loss of hope; hopelessness	F	ፍርሒ	fear; fright	E	ዓቕሚ ኣልቦነት	powerlessness; lack of capacity	F	ሕፍረት	shame, disgrace, dishonour	E	ብዘይ ቃንዛ	without pain	C	14	1	6	7
EST	Estonia	REVIEW	et	Estonian	eesti	Latn	Russian (ru)	Roughly 27% report Russian as their native language, comparable to Latvia. Public education is transitioning fully to Estonian by 2030.	kehavalu	body pain; bodily ache	F	kurbus	sadness	E	kliimaärevus	climate anxiety	F	ebakindlus	uncertainty; insecurity	F	lein	mourning; grief	E	nördimus	indignation; outrage	E	kitsikus	straits; hardship; difficulty	E	pagulus	exile	E	psüühiline trauma	psychological trauma	F	üksildus	loneliness	F	depressioon	depression	F	hirm	fear	E	abitus	helplessness	F	häbi	shame; disgrace	E	valu puudub	pain is absent	F	15	0	8	7
SWZ	Eswatini	SETTLED	ss	siSwati	siSwati	Latn	English (en)	siSwati is L1 for roughly 95-97%, matching the near-universal range of Kirundi, Kinyarwanda, Sesotho and Malagasy.	buhlungu	pain, physical or mental	E	buhlungu	pain, physical or mental	E		: 	X	kungaciniseki	uncertainty	F	lusizi	sorrow; pity; grief	E	intfukutselo	anger; wrath	E	buphuya	poverty; destitution	E	kukhishwa ngenkani	forced removal	F	kuhlukubeteka	trauma; traumatization	F	situnge	loneliness; solitude	E	kucindzeteleka emoyeni	depression	F	kwesaba	fear; being afraid	E	butsakatsaka	weakness; frailty	E	lihlazo	shame; disgrace	E	akukho buhlungu	there is no pain	F	14	1	5	9
ETH	Ethiopia	OPEN	am	Amharic	አማርኛ	Ethi	Oromo (om); Tigrinya (ti); Somali (so)	Amharic is a federal working language; Oromo has more L1 speakers.	ሕመም	pain; illness; ache; ailment; sickness; disease	E	ሥቃይ	suffering; torment; distress; affliction	E		NO TERM FOUND	X	አለመረጋጋት	instability; unrest; lack of calm	E	ሐዘን	sadness; sorrow; grief; compassion; affliction	E	ቁጣ	anger; indignation; wrath	E	መከራ	Hardship	E	የግዳጅ መፈናቀል	forced displacement	F	የስሜት ቀውስ	emotional trauma	F	ብቸኝነት	loneliness; isolation; solitude; privacy	E	ትካዜ	sadness; depression	F	ፍርሃት	fear; awe; dread; panic; alarm	E	አቅመቢስነት	failure; powerlessness; helplessness	E	ኀፍረት	shame; disgrace; ignominy; modesty; humiliation	E	ያለ ህመም	without pain	F	14	1	4	10
FJI	Fiji	OPEN	fj	Fijian		Latn	Fiji Hindi (hif); English (en)	Three official languages with two large communities.	mosi ni yago	body pain	F	rarawa	sorrow; sadness	E	rere ena veisau ni draki	fear about climate/weather change	P	veilecayaki	unsettled; uncertain; confused	E	lolosi	grief over absence or loss	E	cudru	anger	E	leqa	trouble; difficulty; distress	E	sevaki	outcast; exile	E	kidroa	startled; stunned; shocked	E	galili	lonely; solitary	E	lomabibi	heavy-hearted; sorrowful; used publicly for depression	E	rere	fear	E	tawa rawata	unable; incapable	F	madua	shame; ashamed; embarrassment / loss of face	E	sega na leqa	no trouble; no problem	F	15	0	3	11
FIN	Finland	SETTLED	fi	Finnish	suomi	Latn	Swedish (sv)	Swedish co-official, ~5%.	ruumiillinen kipu	bodily/physical pain	F	henkinen kärsimys	mental/emotional suffering	E	ilmastoahdistus	climate anxiety/distress	E	epävarmuus	uncertainty; insecurity	E	suru	grief; sorrow; sadness	E	viha	anger; hatred	E	toimeentulohuoli	livelihood worry	E	juurettomuus	rootlessness	E	henkinen kuormitus	mental/emotional load or strain	E	yksinäisyys	loneliness; solitude	E	masennus	depression; low spirits	E	pelko	fear	E	avuttomuus	helplessness; ineptitude	E	häpeä	shame	E	ilman kärsimystä	without suffering	F	15	0	2	13
FRA	France	SETTLED	fr	French	français	Latn			douleur physique	physical pain	F	douleur émotionnelle	emotional pain	F	éco-anxiété	eco-anxiety	E	incertitude	uncertainty	F	deuil	bereavement / mourning / grief	E	indignation	indignation / moral outrage	E	précarité	precarity / insecurity	E	déracinement	uprooting	F	traumatisme	trauma	E	solitude	loneliness	E	dépression	depression	F	angoisse	anguish / fear / anxiety	E	sentiment d'impuissance	feeling of helplessness	F	honte	shame	E	absence de détresse	absence of distress	E	15	0	6	9
GAB	Gabon	SETTLED	fr	French	français	Latn	Fang (fan)	Unusually high French L1 penetration for the region.	douleur physique	physical pain	F	douleur émotionnelle	emotional pain	F	éco-anxiété	eco-anxiety	E	incertitude	uncertainty	F	deuil	bereavement / mourning / grief	E	indignation	indignation / moral outrage	E	précarité	precarity / insecurity	E	déracinement	uprooting	F	traumatisme	trauma	E	solitude	loneliness	E	dépression	depression	F	angoisse	anguish / fear / anxiety	E	sentiment d'impuissance	feeling of helplessness	F	honte	shame	E	absence de détresse	absence of distress	E	15	0	6	9
GMB	Gambia	REVIEW	en	English		Latn	Mandinka (mnk); Wolof (wo)	English official; Mandinka and Wolof are the spoken languages.	Pain	Pain	F	Hurt	Hurt	E	Eco-anxiety	Eco-anxiety	E	Uncertainty	Uncertainty	F	Grief	Grief	E	Anger	Anger	E	Hardship	Hardship	E	Displacement	Displacement	E	Trauma	Trauma	E	Loneliness	Loneliness	E	Depression	Depression	E	Fear	Fear	E	Helplessness	Helplessness	F	Shame	Shame	E	No pain	No pain	F	15	0	4	11
GEO	Georgia	SETTLED	ka	Georgian	ქართული	Geor			ტკივილი	ache, hurt, pain; pang, stab	E	ტანჯვა	heartache, misery, pain, suffering; mental anguish; physical suffering	E	ეკო-შფოთვა	eco-anxiety; ecological anxiety	E	გაურკვევლობა	indeterminacy, suspense, vagueness; also illegibility/inaudibility/indistinctness	E	გლოვა	mourning, sorrow; sadness	E	ბრაზი	anger	E	გაჭირვება	hardship, indigence, need, want, lack, privation	E	გადასახლება	exile, deportation, expatriation; migration, trek	E	ტრავმა	trauma	E	მარტოობა	loneliness; singleness, solitude	E	დეპრესია	depression	E	შიში	fear	E	უმწეობა	defencelessness; helplessness	E	სირცხვილი	shame, disgrace, ignominy; blemish/opprobrium in some lexicography	E	ტკივილის გარეშე	without pain	F	15	0	1	14
DEU	Germany	SETTLED	de	German	Deutsch	Latn			körperlicher Schmerz	physical pain	F	seelischer Schmerz	emotional/psychological pain	F	Klimaangst	climate fear/anxiety	E	Ungewissheit	uncertainty	E	Trauer	grief; mourning; sorrow	E	Empörung	indignation; outrage	E	Existenzsorge	worry about one’s livelihood/existence	E	Entwurzelung	uprooting; rootlessness	E	Überforderung	being overwhelmed; excessive demand	E	Einsamkeit	loneliness; solitude	E	Depression	depression	E	Angst	fear/anxiety	E	Hilflosigkeit	helplessness	F	Scham	shame	E	ohne Leid	without suffering/distress	F	15	0	4	11
GHA	Ghana	REVIEW	en	English		Latn	Akan/Twi (ak)	English is the sole official language; Akan is the largest L1 and lingua franca.	Pain	Pain	F	Hurt	Hurt	E	Eco-anxiety	Eco-anxiety	E	Uncertainty	Uncertainty	F	Grief	Grief	E	Anger	Anger	E	Hardship	Hardship	E	Displacement	Displacement	E	Trauma	Trauma	E	Loneliness	Loneliness	E	Depression	Depression	E	Fear	Fear	E	Helplessness	Helplessness	F	Shame	Shame	E	No pain	No pain	F	15	0	4	11
GRC	Greece	SETTLED	el	Greek	Ελληνικά	Grek			σωματικός πόνος	physical/bodily pain	F	ψυχικός πόνος	psychological/emotional pain	F	άγχος για το κλίμα	anxiety/stress about the climate	E	αβεβαιότητα	uncertainty; precariousness	E	πένθος	mourning; grief; bereavement	E	αγανάκτηση	rage; outrage; indignation	E	οικονομική αγωνία	economic anguish/worry	E	εξορία	exile; banishment	E	ψυχική πίεση	mental/emotional pressure	E	μοναξιά	loneliness; solitude/seclusion	E	κατάθλιψη	depression	E	φόβος	fear	E	αίσθημα αδυναμίας	feeling of inability/weakness	E	ντροπή	shame	E	χωρίς δυσφορία	without discomfort/distress	E	15	0	2	13
GRD	Grenada	SETTLED	en	English		Latn			Pain	Pain	F	Hurt	Hurt	E	Eco-anxiety	Eco-anxiety	E	Uncertainty	Uncertainty	F	Grief	Grief	E	Anger	Anger	E	Hardship	Hardship	E	Displacement	Displacement	E	Trauma	Trauma	E	Loneliness	Loneliness	E	Depression	Depression	E	Fear	Fear	E	Helplessness	Helplessness	F	Shame	Shame	E	No pain	No pain	F	15	0	4	11
GTM	Guatemala	REVIEW	es	Spanish	español	Latn	K'iche' (quc) and other Mayan languages	About 30% of the population speaks a Mayan language, split across roughly 20 distinct languages. The 41.7% figure often quoted is the Maya ethnic share, which is a different measure.	dolor físico	Physical pain	F	dolor emocional	Emotional pain	F	ecoansiedad	eco-anxiety; chronic fear of environmental catastrophe	F	incertidumbre	Uncertainty	F	duelo	Grief, mourning	E	indignación	Indignation, outrage	E	precariedad	Precarity	E	desarraigo	Rootlessness, uprooting	F	trauma	Trauma	E	soledad	Loneliness, solitude	E	depresión	Depression	F	ansiedad	Anxiety	E	impotencia	Powerlessness	F	culpa	Guilt, blame	E	sin dolor	without pain	F	15	0	8	7
GIN	Guinea	REVIEW	fr	French	français	Latn	Pular (fuf); Maninka (emk); Susu (sus)	French official; no single dominant national language.	douleur physique	physical pain	F	douleur émotionnelle	emotional pain	F	éco-anxiété	eco-anxiety	E	incertitude	uncertainty	F	deuil	bereavement / mourning / grief	E	indignation	indignation / moral outrage	E	précarité	precarity / insecurity	E	déracinement	uprooting	F	traumatisme	trauma	E	solitude	loneliness	E	dépression	depression	F	angoisse	anguish / fear / anxiety	E	sentiment d'impuissance	feeling of helplessness	F	honte	shame	E	absence de détresse	absence of distress	E	15	0	6	9
GNB	Guinea-Bissau	OPEN	pov	Guinea-Bissau Creole		Latn	Portuguese (pt)	Creole is the lingua franca; Portuguese is official but minority-spoken. CLDR trap: bare `pov` does not resolve to Latin script, so downstream tags must be written `pov-Latn` explicitly.	dur	pain, ache; hardship	E	tristesa	sadness	E		Eco-anxiety	X	insertesa	uncertainty	E	don	mourning, grief; pity	E	raiba	rage, anger	E	pobresa	poverty	E	fuga	flight; escape	F	choki	emotional shock	F	solidon	loneliness; solitude	F	disisperu	despair; affliction	E	medu	fear	E	disisperu	despair; desperation; affliction	E	burgunhu	shame, embarrassment	E	i ka ten dur	there is no ache/pain	F	14	1	4	10
GUY	Guyana	SETTLED	en	English		Latn	Guyanese Creole (gyn)		Pain	Pain	F	Hurt	Hurt	E	Eco-anxiety	Eco-anxiety	E	Uncertainty	Uncertainty	F	Grief	Grief	E	Anger	Anger	E	Hardship	Hardship	E	Displacement	Displacement	E	Trauma	Trauma	E	Loneliness	Loneliness	E	Depression	Depression	E	Fear	Fear	E	Helplessness	Helplessness	F	Shame	Shame	E	No pain	No pain	F	15	0	4	11
HTI	Haiti	OPEN	ht	Haitian Creole		Latn	French (fr)	Creole is universal; French is the prestige/written language. Both official.	doulè	Physical pain	F	tristès	Sadness	E		NO TERM FOUND	X	enstabilite	Instability	E	chagren	Grief	E	endiyasyon	Indignation	E	mizè	Hardship	E	deplasman	Displacement	E	sezisman	Shock	E	solitid	loneliness or solitude	F	depresyon	Depression	E	laperèz	Fear	E	dekourajman	Discouragement	E	lawont	Shame	E	san doulè	without pain	F	14	1	3	11
VAT	Holy See	OPEN	it	Italian	italiano	Latn	Latin (la)	Italian is the working language; Latin is the official language of the Holy See.	dolore fisico	physical pain	F	sofferenza emotiva	emotional suffering	F	ecoansia	eco-anxiety	E	incertezza	uncertainty	E	lutto	mourning; bereavement	E	indignazione	indignation	E	insicurezza economica	economic insecurity	E	esilio	exile	E	sovraccarico emotivo	emotional overload	E	solitudine	loneliness; solitude	E	depressione	depression	E	paura	fear	E	impotenza	powerlessness	E	vergogna	shame	E	senza sofferenza	without suffering	F	15	0	3	12
HND	Honduras	SETTLED	es	Spanish	español	Latn			dolor físico	Physical pain	F	dolor emocional	Emotional pain	F	ecoansiedad	eco-anxiety; chronic fear of environmental catastrophe	F	incertidumbre	Uncertainty	F	duelo	Grief, mourning	E	indignación	Indignation, outrage	E	precariedad	Precarity	E	desarraigo	Rootlessness, uprooting	F	trauma	Trauma	E	soledad	Loneliness, solitude	E	depresión	Depression	F	ansiedad	Anxiety	E	impotencia	Powerlessness	F	culpa	Guilt, blame	E	sin dolor	without pain	F	15	0	8	7
HUN	Hungary	SETTLED	hu	Hungarian	magyar	Latn			testi fájdalom	pain	F	fájdalom	pain; grief; sorrow	E	klímaszorongás	climate anxiety	E	bizonytalanság	uncertainty	E	gyász	mourning	E	harag	anger	E	nélkülözés	deprivation	E	száműzetés	exile / banishment	E	trauma	trauma	E	magány	loneliness / solitude	E	depresszió	depression	F	félelem	fear	E	tehetetlenség	helplessness / powerlessness	E	szégyen	shame	E	nincs fájdalom	there is no pain	F	15	0	3	12
ISL	Iceland	SETTLED	is	Icelandic	íslenska	Latn			verkur	pain; ache	F	vanlíðan	distress; malaise; discomfort	E	loftslagskvíði	climate anxiety	F	óvissa	uncertainty	F	sorg	grief; sorrow	E	reiði	anger; wrath	E	bágindi	hardship; distress	E	útlegð	exile; banishment	E	andlegt áfall	psychological shock; trauma	F	einmanaleiki	loneliness	F	þunglyndi	depression	F	ótti	fear; dread	E	vanmáttur	powerlessness; weakness	E	skömm	shame; disgrace	E	enginn verkur	no pain	F	15	0	7	8
IND	India	OPEN	hi	Hindi	हिन्दी	Deva	English (en); Bengali (bn); Telugu (te); Marathi (mr); Tamil (ta) and 17 more scheduled	No national language. Hindi is the largest but far from universal, and contested in the south.	शारीरिक दर्द	physical pain	F	दुख	sorrow; suffering; grief	E	जलवायु चिंता	climate worry	F	अनिश्चितता	uncertainty	F	शोक	grief; mourning; sorrow	E	आक्रोश	outrage; indignation; anger	E	तंगी	scarcity; financial straits	F	विस्थापन	displacement	E	सदमा	shock; trauma	E	अकेलापन	loneliness; aloneness	E	अवसाद	dejection; depression	E	डर	fear; fright; dread	E	लाचारी	helplessness; powerlessness	F	शर्म	shame; embarrassment; modesty	E	दर्द नहीं	no pain	F	15	0	6	9
IDN	Indonesia	SETTLED	id	Indonesian	bahasa Indonesia	Latn	Javanese (jv)	Javanese has more L1 speakers; Indonesian is the universal national language.	nyeri	pain; ache; bodily suffering or unpleasant sensation	E	kesedihan	sadness; sorrow; grief; melancholy; anguish	E	kecemasan iklim	climate anxiety	F	ketidakpastian	uncertainty; lack of certainty; unpredictability	E	kedukaan	mourning; bereavement; grief	E	kemarahan	anger; wrath; state of being angry	E	kesusahan	hardship; trouble; difficulty; distress	E	pengungsian	evacuation; displacement/refuge process; refuge or evacuation setting in context	E	trauma	trauma; physical or psychological injury/shock	E	kesepian	loneliness; solitude; state of being alone	E	depresi	depression; depressive state; also non-mental depression in some domains	E	ketakutan	fear; fright; state of being afraid	E	ketidakberdayaan	helplessness; powerlessness; lack of ability or agency	E	penyesalan	regret; remorse	E	tidak nyeri	no pain	F	15	0	2	13
IRN	Iran	SETTLED	fa	Persian	فارسی	Arab	Azerbaijani (az); Kurdish (ku)		درد	pain	E	درد روحی	emotional pain	F	اضطراب اقلیمی	climate anxiety	E	بی‌ثباتی	instability	E	سوگ	mourning	E	خشم	anger	E	تنگدستی	poverty / indigence	E	آوارگی	displacement / homelessness / wandering	E	تروما	trauma	E	تنهایی	loneliness; solitude; privacy	E	افسردگی	depression	E	ترس	fear	E	درماندگی	helplessness / desperation	E	شرم	shame	E	بدون درد	without pain	F	15	0	2	13
IRQ	Iraq	REVIEW	ar	Arabic	العربية	Arab	Kurdish (ku)	Kurdish is co-official and regionally dominant. Variety: Mesopotamian Arabic (acm).	وجع	Pain / ache	F	ضيق	Distress / inner tightness	E	القلق المناخي	climate anxiety, definite form	F	عدم اليقين	uncertainty; lack of certainty	F	حزن	Grief / sorrow	E	غضب	Anger	E	عوز	Want / destitution	E	نزوح	Displacement	E	صدمة	Shock / trauma	E	وحشة	Loneliness / forlornness	E	اكتئاب	Depression	F	خوف وقلق	Fear and anxiety	E	عجز	Inability / powerlessness	E	شعور بالذنب	Feeling of guilt	E	بلا ألم	without pain	F	15	0	5	10
IRL	Ireland	SETTLED	en	English		Latn	Irish (ga)	English is L1 for roughly 99%; daily Irish speakers are roughly 2%. Irish is constitutionally the first official language but there is no realistic contest in practice.	Pain	Pain	F	Hurt	Hurt	E	Eco-anxiety	Eco-anxiety	E	Uncertainty	Uncertainty	F	Grief	Grief	E	Anger	Anger	E	Hardship	Hardship	E	Displacement	Displacement	E	Trauma	Trauma	E	Loneliness	Loneliness	E	Depression	Depression	E	Fear	Fear	E	Helplessness	Helplessness	F	Shame	Shame	E	No pain	No pain	F	15	0	4	11
ISR	Israel	REVIEW	he	Hebrew	עברית	Hebr	Arabic (ar)	Arab citizens are roughly 21% of the population and Arabic was moved from co-official to special status in 2018. Most are Hebrew-bilingual, which cuts the other way.	כאב גופני	physical pain; bodily pain	C	כאב נפשי	emotional pain; psychological pain; inner suffering	C	חרדת אקלים	climate anxiety; climate-related fear/anxiety	E	אי ודאות	uncertainty; lack of certainty	E	אבל	mourning; grief; bereavement	E	כעס	anger; wrath; being angry	E	מחסור	shortage; lack; scarcity; deprivation	E	עקירה	uprooting; removal; extraction; displacement in human/place contexts	E	טראומה	trauma; physical or psychological injury/shock	E	בדידות	loneliness; solitude; aloneness	E	דיכאון	depression; depressive state; also depression in non-mental domains	E	פחד	fear; dread; fright	E	חוסר אונים	helplessness; powerlessness; lack of capacity; also impotence in some contexts	E	בושה	shame; embarrassment; discomfort from exposure or fault	E	ללא כאב	without pain	F	15	0	1	12
ITA	Italy	SETTLED	it	Italian	italiano	Latn			dolore fisico	physical pain	F	sofferenza emotiva	emotional suffering	F	ecoansia	eco-anxiety	E	incertezza	uncertainty	E	lutto	mourning; bereavement	E	indignazione	indignation	E	insicurezza economica	economic insecurity	E	esilio	exile	E	sovraccarico emotivo	emotional overload	E	solitudine	loneliness; solitude	E	depressione	depression	E	paura	fear	E	impotenza	powerlessness	E	vergogna	shame	E	senza sofferenza	without suffering	F	15	0	3	12
JAM	Jamaica	REVIEW	en	English		Latn	Jamaican Patois (jam)	English is official; Patois is the universal spoken vernacular.	Pain	Pain	F	Hurt	Hurt	E	Eco-anxiety	Eco-anxiety	E	Uncertainty	Uncertainty	F	Grief	Grief	E	Anger	Anger	E	Hardship	Hardship	E	Displacement	Displacement	E	Trauma	Trauma	E	Loneliness	Loneliness	E	Depression	Depression	E	Fear	Fear	E	Helplessness	Helplessness	F	Shame	Shame	E	No pain	No pain	F	15	0	4	11
JPN	Japan	SETTLED	ja	Japanese	日本語	Jpan			体の痛み	bodily pain	C	心の痛み	emotional pain; inner hurt	F	気候不安	climate anxiety	E	不安	anxiety; uneasiness	E	喪失感	sense of loss; feeling of loss	E	憤り	indignation; resentment; anger	E	生活苦	hardship in living; livelihood hardship	E	離郷	departure from one’s hometown	E	トラウマ	psychological trauma	E	孤独感	feelings of loneliness; sense of isolation	E	うつ病	depression	F	不安や恐怖	anxiety/worry and fear	C	無力感	sense of helplessness	F	自責	self-condemnation; self-reproach	E	苦痛なし	no distress; no pain/suffering	C	15	0	3	9
JOR	Jordan	SETTLED	ar	Arabic	العربية	Arab		Variety: Levantine Arabic (apc) vs MSA.	وجع	Pain / ache	F	ضيق	Distress / inner tightness	E	القلق المناخي	climate anxiety, definite form	F	عدم اليقين	uncertainty; lack of certainty	F	حزن	Grief / sorrow	E	غضب	Anger	E	عوز	Want / destitution	E	نزوح	Displacement	E	صدمة	Shock / trauma	E	وحشة	Loneliness / forlornness	E	اكتئاب	Depression	F	خوف وقلق	Fear and anxiety	E	عجز	Inability / powerlessness	E	شعور بالذنب	Feeling of guilt	E	بلا ألم	without pain	F	15	0	5	10
KAZ	Kazakhstan	OPEN	kk	Kazakh	қазақ тілі	Cyrl	Russian (ru)	Both widely used; Russian remains dominant in urban public life.	ауру	pain; illness	E	жан азабы	mental anguish; torment of the soul	F		NO TERM FOUND	X	белгісіздік	uncertainty; ambiguity; unknownness	F	қайғы	grief, sorrow; suffering	E	ыза	anger, resentment, indignation	E	жоқшылық	poverty; destitution; privation	E	жер аудару	exile; deportation; banishment	E	психологиялық жарақат	psychological trauma; psychological injury	F	жалғыздық	loneliness; solitude; singleness	E	депрессия	depression; depressive disorder or state	F	үрей	fear; panic; terror	E	дәрменсіздік	weakness; powerlessness; impotence; incapacity	E	кінә	fault; guilt	E	ауырсынусыз	painless, patient sense	F	14	1	5	9
KEN	Kenya	REVIEW	sw	Swahili	Kiswahili	Latn	English (en); Gikuyu (ki)	Swahili and English both official; Swahili is the national lingua franca.	maumivu	Pain	E	huzuni	Hurt	E	wasiwasi wa hali ya hewa	climate/weather anxiety or worry	E	shaka	Uncertainty	E	majonzi	grief; sorrow	E	hasira	Anger	E	dhiki	Hardship	E	uhamisho	Displacement	E	kiwewe	Trauma	E	upweke	loneliness; solitude	E	mfadhaiko	Depression	F	hofu	Fear	E	kutokuwa na uwezo	inability/powerlessness	E	aibu	Shame	E	bila mateso	without suffering	F	15	0	2	13
KIR	Kiribati	SETTLED	gil	Gilbertese		Latn	English (en)		maraki	pain, suffering, sickness, grief	E	raraoma	worry; anxiety; anguish; regret; repentance; remorse	E		Eco-anxiety	X	mwebuaka	uncomfortable; insecure; ill at ease	E	nanokawaki	sadness, affliction, sorrow, grief	E	bononano	Anger	E	buanta	loss, damage, grief, regret	E	kanakoa	make go; send away	F	kurere	horrified; overwhelmed with fear	F	maroa	loneliness; lonesomeness	F		Depression	X	maku	fear; dread; terror; fright; dismay	E	aki kona	powerlessness; impossibility	F	mama	shame, timidity, shyness, bashfulness	E	Akea te maraki	there is no pain	F	13	2	5	8
