iso3,anger_moral_injury,climate_fear_anxiety_panic,depression_suicidal_ideation,displacement_exile,emotional_pain_unspecified,general_fear_anxiety_panic,general_physical_pain,grief_solastalgia,helplessness_powerlessness,loss_precarity,no_pain,out_of_scope,relationship_social_pain,shame_guilt_self_blame,trauma_overwhelm,uncertainty_instability
SVK,0.6281,0.5390,0.3503,0.5761,0.7824,0.1365,0.4706,0.1493,0.4883,0.6336,0.5983,0.6271,0.3827,0.2511,0.6837,0.4942
SVN,0.4491,0.6740,0.6920,0.2920,0.4360,0.7437,0.5789,0.2780,0.5134,0.9038,0.6039,0.4498,0.4092,0.5482,0.2123,0.0886
SWE,0.5745,0.8390,0.1336,0.7443,0.2518,0.5631,0.1459,0.3321,0.0097,0.6638,0.1899,0.3510,0.7979,0.2543,0.3861,0.2725
SWZ,0.7170,0.6063,0.3023,0.7861,0.3529,0.8750,0.5018,0.6719,0.4715,0.4673,0.8172,0.8814,0.3970,0.1557,0.6308,0.6168
SYC,0.6478,0.3908,0.0598,0.6986,0.6388,0.4120,0.7665,0.5871,0.2467,0.1136,0.8226,0.7303,0.1938,0.5716,0.5321,0.5447
SYR,0.4466,0.7443,0.6815,0.4050,0.9076,0.5089,0.8581,0.2112,0.7533,0.5807,0.2127,0.0501,0.4548,0.2792,0.4556,0.1958
TCD,0.6017,0.2652,0.3461,0.5211,0.4256,0.5518,0.4672,0.2960,0.3534,0.3817,0.5590,0.9971,0.6158,0.6335,0.6853,0.5206
TGO,0.1739,0.6014,0.5592,0.7505,0.5387,0.2264,0.5745,0.0434,0.4144,0.0944,0.7125,0.9607,0.6553,0.2768,0.3950,0.6898
THA,0.4713,0.1295,0.2607,0.5640,0.7390,0.5584,0.5619,0.2213,0.6825,0.4347,0.9187,0.5991,0.4274,0.5097,0.5040,0.6162
TJK,0.5357,0.4893,0.3474,0.6461,0.4918,0.5528,0.5686,0.4583,0.2920,0.4292,0.4154,0.6060,0.5304,0.3565,0.4403,0.7647
TKM,1.0000,0.2806,0.6518,0.6181,0.6362,0.2015,0.3748,1.0000,0.6352,0.5652,0.5196,0.3946,1.0000,0.4830,0.1797,0.9538
TLS,0.4013,0.7726,0.5353,0.6774,0.4158,0.6604,1.0000,0.1840,0.0736,0.0000,0.8920,0.2716,1.0000,0.5060,0.7645,0.5492
TON,0.4882,0.1781,0.7375,0.0387,1.0000,0.4534,1.0000,1.0000,0.0971,0.3516,1.0000,0.5493,0.3235,0.3515,0.1822,1.0000
TTO,0.2972,0.6233,0.2377,0.5947,0.6584,0.5899,0.5278,0.2809,0.6516,0.7150,0.6252,0.6843,0.1571,0.5538,0.6561,0.7086
TUN,0.2983,0.5420,0.3780,0.4326,0.3983,0.6002,0.3354,0.8541,0.5985,0.1452,0.5737,0.4327,0.3582,0.5768,0.3041,0.3509
TUR,0.5422,0.6642,0.5053,0.3918,0.6824,0.4328,0.5980,0.8013,0.2796,0.5712,0.5048,0.3233,0.3306,0.7002,0.4336,0.6593
TUV,0.1950,0.4548,0.2361,0.2229,0.6182,0.1766,0.7845,0.1637,0.2133,0.2143,0.1649,0.0250,0.5961,0.1275,0.6006,0.3340
TZA,0.4110,0.2926,0.6130,0.3732,0.5894,0.0928,0.1852,0.3045,0.8070,0.3726,0.5694,0.5694,0.1183,0.2327,0.2790,0.3018
UGA,0.3601,0.2928,0.5198,0.0988,0.1868,0.1134,0.1924,0.5975,0.6777,0.3622,0.3832,0.0945,0.1491,0.6150,0.5960,0.3852
UKR,0.5952,0.7627,0.7778,1.0000,0.3093,1.0000,0.7661,0.4850,0.6263,0.9869,1.0000,0.3015,0.4602,0.7070,0.5070,0.5424
URY,0.2218,0.5319,0.8932,0.2035,0.4862,0.6535,0.4622,0.4643,0.1127,0.6799,0.6413,0.2739,0.4948,0.3376,0.3284,0.4272
USA,0.1379,1.0000,0.8076,0.7632,0.8990,1.0000,0.2305,0.2739,0.0507,0.2711,0.3397,0.1284,0.1311,0.2587,0.4394,0.7859
UZB,0.6814,0.8196,0.7419,0.7827,0.4345,0.4944,0.3728,0.6913,0.3929,0.7864,0.0596,0.0949,1.0000,0.4576,0.5707,0.6720
VAT,0.5467,0.6980,0.5747,0.4400,0.7926,0.7007,0.5921,0.1406,0.8714,0.4016,0.7405,0.5182,0.1663,0.8222,0.4569,0.1829
VCT,0.4606,0.8647,0.7461,0.7817,1.0000,0.8594,0.4277,0.5529,0.4014,0.9466,0.2427,0.7008,0.7139,0.7784,0.6902,0.7713
VEN,0.3612,0.2825,0.5464,0.3383,0.6651,0.6957,0.1923,0.8791,0.7293,0.3689,0.0923,0.6444,0.7776,0.6041,0.6012,0.3968
VNM,0.1788,0.6105,0.4411,0.5209,0.2710,0.5482,0.7399,0.3752,0.7071,0.6423,0.5601,0.4539,0.1902,0.7474,0.5555,0.3335
VUT,0.2138,0.5491,0.5073,0.5101,0.4889,0.5099,0.5572,0.6882,0.4376,0.6016,0.6288,0.2191,0.7878,0.4336,0.4330,0.2331
WSM,0.1334,0.5336,0.3180,0.6347,0.7264,0.6247,0.1432,0.6457,0.2493,0.4601,0.5843,0.7363,0.5788,0.6265,0.4900,0.6586
YEM,0.6574,0.7688,0.4933,0.4362,0.5464,0.3683,0.7103,0.4545,0.4808,0.3321,0.5295,0.1812,0.2674,0.5522,0.4518,0.6438
ZAF,0.2669,0.3758,0.5067,0.6161,0.5963,0.3598,0.3330,0.4963,0.4399,0.6303,0.4489,0.7358,0.2217,0.3016,0.3697,0.3325
ZMB,0.6386,0.4820,0.5753,0.5177,0.0548,0.4614,0.0929,0.8042,0.1428,0.1868,0.1585,0.1529,0.3976,0.6284,0.1840,0.2052
ZWE,0.4853,0.6746,0.4517,0.5118,0.5129,0.6990,0.4712,0.3654,0.5732,0.4305,0.8212,0.8498,0.4971,0.6244,0.4568,0.5877
